,secs,x1,x2,y1,y2
0,0.0,0,0,0,0
1,7.2,546,640,261,347
2,7.24,542,260,637,347
3,7.28,544,259,641,347
4,7.32,537,257,637,348
5,7.36,543,262,635,346
6,7.4,538,261,634,349
7,7.44,542,263,634,347
8,7.48,537,262,632,349
9,7.52,540,264,631,347
10,7.56,536,263,630,349
11,7.6,538,264,629,348
12,7.64,534,264,626,348
13,7.68,537,264,629,348
14,7.72,533,263,625,348
15,7.76,536,263,628,347
16,7.8,532,263,623,346
17,7.84,535,262,626,345
18,7.88,531,261,621,344
19,7.92,534,260,624,343
20,7.96,530,259,620,342
21,8.0,532,260,620,341
22,8.04,529,260,618,342
23,8.08,530,261,619,342
24,8.12,528,262,616,343
25,8.16,529,262,618,343
26,8.2,527,263,615,343
27,8.24,530,263,618,343
28,8.28,528,265,610,340
29,8.32,530,264,617,344
30,8.36,525,263,612,343
31,8.4,532,639,270,345
32,8.44,531,268,638,343
33,8.48,531,268,637,343
34,8.52,531,268,637,343
35,8.56,525,267,635,344
36,8.6,529,269,635,343
37,8.64,526,269,632,344
38,8.68,523,262,609,342
39,8.72,522,262,609,341
40,8.76,519,263,606,342
41,8.8,522,262,609,342
42,8.84,519,262,605,341
43,8.88,521,262,607,341
44,8.92,520,262,606,340
45,8.96,517,262,603,341
46,9.0,520,262,606,341
47,9.04,518,263,602,340
48,9.08,520,269,626,343
49,9.12,523,270,626,343
50,9.16,515,263,600,341
51,9.2,522,270,628,344
52,9.24,514,263,599,341
53,9.28,517,263,602,341
54,9.32,513,263,598,340
55,9.36,515,263,599,340
56,9.4,516,269,620,343
57,9.44,519,271,620,342
58,9.48,519,271,620,341
59,9.52,518,271,619,341
60,9.56,514,270,617,342
61,9.6,515,634,263,343
62,9.64,517,269,621,342
63,9.68,512,269,615,341
64,9.72,516,270,616,340
65,9.76,515,270,615,340
66,9.8,506,262,589,339
67,9.84,510,263,593,339
68,9.88,506,263,588,339
69,9.92,510,271,611,341
70,9.96,513,270,614,341
71,10.0,512,271,611,340
72,10.04,511,270,611,340
73,10.08,511,270,610,339
74,10.12,505,262,623,342
75,10.16,508,262,628,343
76,10.2,508,263,624,341
77,10.24,504,262,622,342
78,10.28,508,264,623,341
79,10.32,504,263,621,342
80,10.36,507,264,625,343
81,10.4,507,264,622,341
82,10.44,507,263,621,340
83,10.48,507,263,621,340
84,10.52,507,263,621,340
85,10.56,506,263,620,340
86,10.6,506,263,619,340
87,10.64,506,263,619,339
88,10.68,501,262,617,340
89,10.72,505,263,618,339
90,10.76,505,263,617,338
91,10.8,512,629,267,332
92,10.84,506,266,628,334
93,10.88,500,265,579,337
94,10.92,505,267,626,334
95,10.96,511,267,632,334
96,11.0,504,267,626,335
97,11.04,504,272,598,338
98,11.08,502,265,628,335
99,11.12,506,265,632,335
100,11.16,499,265,625,335
101,11.2,497,265,609,341
102,11.24,500,266,610,340
103,11.28,501,274,595,339
104,11.32,501,273,594,339
105,11.36,495,266,573,337
106,11.4,500,273,593,338
107,11.44,500,273,592,337
108,11.48,493,266,570,336
109,11.52,500,272,594,338
110,11.56,493,266,570,337
111,11.6,494,267,570,336
112,11.64,492,267,568,337
113,11.68,494,268,570,337
114,11.72,493,268,569,337
115,11.76,491,268,567,337
116,11.8,498,275,589,339
117,11.84,497,275,587,338
118,11.88,494,274,585,338
119,11.92,497,275,588,338
120,11.96,496,275,585,337
121,12.0,102,125,284,300
122,12.04,96,284,119,300
123,12.08,495,274,583,336
124,12.12,492,274,581,337
125,12.16,492,269,596,339
126,12.2,492,268,595,338
127,12.24,491,275,580,337
128,12.28,53,285,77,302
129,12.32,45,287,68,303
130,12.36,35,288,58,304
131,12.4,488,269,591,338
132,12.44,491,270,593,339
133,12.48,486,269,559,336
134,12.52,488,271,590,339
135,12.56,492,271,593,339
136,12.6,491,271,591,338
137,12.64,491,270,591,338
138,12.68,498,273,601,330
139,12.72,488,271,588,338
140,12.76,493,276,578,336
141,12.8,490,276,575,336
142,12.84,497,273,599,330
143,12.88,496,273,598,329
144,12.92,488,276,573,335
145,12.96,491,275,576,334
146,13.0,488,275,573,334
147,13.04,495,273,596,329
148,13.08,485,269,555,333
149,13.12,491,272,593,328
150,13.16,487,275,570,333
151,13.24,484,270,580,335
152,13.28,486,272,582,336
153,13.32,484,272,552,334
154,13.36,490,273,595,331
155,13.4,-2,300,23,318
156,13.44,0,299,24,317
157,13.48,-5,297,20,315
158,13.52,487,276,568,333
159,13.56,-2,298,23,316
160,13.6,-3,298,22,316
161,13.64,490,274,586,327
162,13.68,481,272,547,332
163,13.72,480,271,546,332
164,13.76,485,272,577,334
165,13.8,480,271,572,333
166,13.84,483,271,575,333
167,13.88,478,271,570,333
168,13.92,480,275,558,330
169,13.96,476,269,541,329
170,14.0,478,269,543,329
171,14.04,481,271,578,325
172,14.08,475,270,540,329
173,14.12,480,275,557,329
174,14.16,481,272,576,325
175,14.2,484,272,579,325
176,14.24,475,270,539,328
177,14.28,480,273,574,325
178,14.32,475,270,539,328
179,14.36,472,270,535,328
180,14.4,482,574,272,330
181,14.44,481,271,573,329
182,14.48,478,274,570,325
183,14.52,475,271,563,330
184,14.56,472,272,560,331
185,14.6,480,274,573,325
186,14.64,476,274,567,325
187,14.68,479,274,570,325
188,14.72,479,274,567,323
189,14.76,475,275,565,325
190,14.8,471,277,544,329
191,14.84,-2,302,23,321
192,14.88,472,274,563,324
193,14.92,471,278,544,328
194,14.96,468,272,528,328
195,15.0,467,273,552,330
196,15.04,468,279,540,330
197,15.08,466,274,550,331
198,15.12,465,274,549,331
199,15.16,472,275,560,324
200,15.2,464,273,548,329
201,15.24,463,272,547,328
202,15.28,463,272,546,328
203,15.32,460,272,543,328
204,15.36,461,272,544,328
205,15.4,461,272,543,327
206,15.44,463,274,550,322
207,15.48,-2,302,26,322
208,15.52,-3,303,25,323
209,15.56,-2,302,26,322
210,15.6,473,552,270,327
211,15.64,469,269,550,327
212,15.68,469,267,555,329
213,15.72,465,267,550,329
214,15.76,467,267,553,329
215,15.8,463,267,549,329
216,15.84,454,271,534,325
217,15.88,-3,302,24,322
218,15.92,-2,302,26,322
219,15.96,-4,302,25,322
220,16.0,-2,302,26,323
221,16.04,451,270,508,321
222,16.08,448,270,505,321
